Data Import Template,,,,,,,,,
Table:,Employee Checkin,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Notes:,,,,,,,,,
Please do not change the template headings.,,,,,,,,,
First data column must be blank.,,,,,,,,,
"If you are uploading new records, leave the ""name"" (ID) column blank.",,,,,,,,,
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present.",,,,,,,,,
Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish.,,,,,,,,,
"For updating, you can update only selective columns.",,,,,,,,,
You can only upload upto 5000 records in one go. (may be less in some cases),,,,,,,,,
,,,,,,,,,
DocType:,Employee Checkin,,,,,,,,
Column Labels:,ID,Employee,Time,Employee Name,Log Type,Shift,Location / Device ID,Skip Auto Attendance,Attendance Marked
Column Name:,name,employee,time,employee_name,log_type,shift,device_id,skip_auto_attendance,attendance
Mandatory:,Yes,Yes,Yes,No,No,No,No,No,No
Type:,Data,Link,Datetime,Data,Select,Link,Data,Check,Link
Info:,,Valid Employee,dd-mm-yyyy,,"One of: IN, OUT",Valid Shift Type,,0 or 1,Valid Attendance
Start entering data below this line,,,,,,,,,
,,HR-EMP-00009,2/12/2020 9:51,,IN,,,,
,,HR-EMP-00014,2/12/2020 10:01,,IN,,,,
,,HR-EMP-00007,2/12/2020 10:20,,IN,,,,
,,HR-EMP-00001,2/12/2020 10:29,,IN,,,,
,,HR-EMP-00012,2/12/2020 10:45,,IN,,,,
,,HR-EMP-00004,2/12/2020 11:16,,IN,,,,
,,HR-EMP-00014,2/12/2020 18:39,,OUT,,,,
,,HR-EMP-00009,2/12/2020 18:49,,OUT,,,,
,,HR-EMP-00007,2/12/2020 19:00,,OUT,,,,
,,HR-EMP-00001,2/12/2020 19:00,,OUT,,,,
,,HR-EMP-00004,2/12/2020 19:00,,OUT,,,,
,,HR-EMP-00012,2/12/2020 19:00,,OUT,,,,
,,HR-EMP-00014,2/13/2020 10:03,,IN,,,,
,,HR-EMP-00009,2/13/2020 10:08,,IN,,,,
,,HR-EMP-00007,2/13/2020 10:28,,IN,,,,
,,HR-EMP-00001,2/13/2020 10:39,,IN,,,,
,,HR-EMP-00012,2/13/2020 10:41,,IN,,,,
,,HR-EMP-00004,2/13/2020 11:20,,IN,,,,
,,HR-EMP-00009,2/13/2020 18:30,,OUT,,,,
,,HR-EMP-00014,2/13/2020 18:35,,OUT,,,,
