Data Import Template,,,,,,,,,
Table:,Employee Checkin,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Notes:,,,,,,,,,
Please do not change the template headings.,,,,,,,,,
First data column must be blank.,,,,,,,,,
"If you are uploading new records, leave the ""name"" (ID) column blank.",,,,,,,,,
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present.",,,,,,,,,
Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish.,,,,,,,,,
"For updating, you can update only selective columns.",,,,,,,,,
You can only upload upto 5000 records in one go. (may be less in some cases),,,,,,,,,
,,,,,,,,,
DocType:,Employee Checkin,,,,,,,,
Column Labels:,ID,Employee,Time,Employee Name,Log Type,Shift,Location / Device ID,Skip Auto Attendance,Attendance Marked
Column Name:,name,employee,time,employee_name,log_type,shift,device_id,skip_auto_attendance,attendance
Mandatory:,Yes,Yes,Yes,No,No,No,No,No,No
Type:,Data,Link,Datetime,Data,Select,Link,Data,Check,Link
Info:,,Valid Employee,dd-mm-yyyy,,"One of: IN, OUT",Valid Shift Type,,0 or 1,Valid Attendance
Start entering data below this line,,,,,,,,,
,,65,2020-01-06 18:39:09,,OUT,,,,,
,,66,2020-01-06 18:39:57,,OUT,,,,,
,,75,2020-01-06 19:21:12,,OUT,,,,,
,,45,2020-01-06 19:21:59,,OUT,,,,,
,,HR-EMP-00002,2020-01-07 09:21:32,,IN,,,,
,,HR-EMP-00001,2020-01-07 10:11:51,,IN,,,,
,,HR-EMP-00003,2020-01-07 10:21:47,,IN,,,,
,,66,2020-01-07 10:25:44,,IN,,,,
,,45,2020-01-07 11:05:16,,IN,,,,
,,65,2020-01-07 11:13:48,,IN,,,,
,,69,2020-01-07 11:14:42,,IN,,,,
,,75,2020-01-07 11:43:55,,IN,,,,
,,HR-EMP-00002,2020-01-07 18:07:14,,OUT,,,,,
,,HR-EMP-00001,2020-01-07 18:25:24,,OUT,,,,,
,,69,2020-01-07 18:35:15,,OUT,,,,,
,,74,2020-01-07 18:35:25,,IN,,,,
,,66,2020-01-07 18:38:18,,OUT,,,,,
,,HR-EMP-00003,2020-01-07 18:38:48,,OUT,,,,,
,,65,2020-01-07 18:42:21,,OUT,,,,,
,,75,2020-01-07 18:50:01,,OUT,,,,,
,,HR-EMP-00002,2020-01-08 09:37:55,,IN,,,,
,,HR-EMP-00001,2020-01-08 10:08:09,,IN,,,,
,,HR-EMP-00003,2020-01-08 10:23:35,,IN,,,,
,,45,2020-01-08 10:25:40,,IN,,,,
,,66,2020-01-08 11:02:12,,IN,,,,
,,75,2020-01-08 11:03:12,,IN,,,,
,,69,2020-01-08 11:19:13,,IN,,,,
,,65,2020-01-08 12:00:08,,IN,,,,
,,66,2020-01-08 17:02:14,,OUT,,,,,
,,HR-EMP-00002,2020-01-08 18:01:08,,OUT,,,,,
,,HR-EMP-00001,2020-01-08 18:27:37,,OUT,,,,,
,,65,2020-01-08 18:44:34,,OUT,,,,,
,,69,2020-01-08 18:57:02,,OUT,,,,,
,,74,2020-01-08 18:57:10,,IN,,,,
,,HR-EMP-00003,2020-01-08 19:18:05,,OUT,,,,,
,,45,2020-01-08 19:18:28,,OUT,,,,,
,,75,2020-01-08 19:19:35,,OUT,,,,,
,,HR-EMP-00002,2020-01-09 09:37:23,,IN,,,,
,,HR-EMP-00001,2020-01-09 10:11:31,,IN,,,,
,,66,2020-01-09 10:11:41,,IN,,,,
,,HR-EMP-00003,2020-01-09 10:14:52,,IN,,,,
,,65,2020-01-09 10:30:36,,IN,,,,
,,45,2020-01-09 11:17:58,,IN,,,,
,,69,2020-01-09 11:30:03,,IN,,,,
,,75,2020-01-09 11:57:06,,IN,,,,
,,HR-EMP-00001,2020-01-09 18:28:28,,OUT,,,,,
,,65,2020-01-09 18:40:20,,OUT,,,,,
,,66,2020-01-09 18:44:31,,OUT,,,,,
,,75,2020-01-09 19:28:53,,OUT,,,,,
,,HR-EMP-00003,2020-01-09 19:34:09,,OUT,,,,,
,,69,2020-01-09 19:34:11,,OUT,,,,,
,,74,2020-01-09 19:34:20,,IN,,,,
,,45,2020-01-09 20:23:43,,OUT,,,,,
,,HR-EMP-00002,2020-01-10 09:44:20,,IN,,,,
,,HR-EMP-00001,2020-01-10 10:10:28,,IN,,,,
,,66,2020-01-10 10:17:05,,IN,,,,
,,HR-EMP-00003,2020-01-10 10:22:10,,IN,,,,
,,45,2020-01-10 11:13:34,,IN,,,,
,,65,2020-01-10 11:48:44,,IN,,,,
,,75,2020-01-10 12:10:21,,IN,,,,
,,HR-EMP-00001,2020-01-10 18:25:32,,OUT,,,,,
,,66,2020-01-10 18:35:40,,OUT,,,,,
,,65,2020-01-10 18:52:47,,OUT,,,,,
,,74,2020-01-10 19:19:51,,IN,,,,
,,69,2020-01-10 19:19:54,,IN,,,,
,,75,2020-01-10 19:20:01,,OUT,,,,,
,,HR-EMP-00003,2020-01-10 19:21:21,,OUT,,,,,
,,45,2020-01-10 19:27:49,,OUT,,,,,
,,HR-EMP-00002,2020-01-11 09:42:30,,IN,,,,
,,HR-EMP-00001,2020-01-11 10:04:17,,IN,,,,
,,HR-EMP-00003,2020-01-11 10:11:10,,IN,,,,
,,65,2020-01-11 10:40:54,,IN,,,,
,,45,2020-01-11 11:07:31,,IN,,,,
,,66,2020-01-11 11:19:32,,IN,,,,
,,75,2020-01-11 11:24:48,,IN,,,,
,,69,2020-01-11 11:45:44,,IN,,,,
,,HR-EMP-00003,2020-01-11 14:50:41,,OUT,,,,,
,,HR-EMP-00002,2020-01-11 17:56:28,,OUT,,,,,
,,69,2020-01-11 18:30:13,,OUT,,,,,
,,65,2020-01-11 18:38:05,,OUT,,,,,
,,HR-EMP-00001,2020-01-11 18:42:52,,OUT,,,,,
,,66,2020-01-11 19:01:32,,OUT,,,,,
,,45,2020-01-11 19:13:59,,OUT,,,,,
,,75,2020-01-11 19:16:42,,OUT,,,,,
,,HR-EMP-00002,2020-01-13 09:49:40,,IN,,,,
,,75,2020-01-13 10:48:44,,IN,,,,
,,65,2020-01-13 10:50:55,,IN,,,,
,,45,2020-01-13 11:12:27,,IN,,,,
,,69,2020-01-13 11:38:30,,IN,,,,
,,66,2020-01-13 12:15:59,,IN,,,,
,,HR-EMP-00002,2020-01-13 17:59:39,,OUT,,,,,
,,66,2020-01-13 18:38:20,,OUT,,,,,
,,65,2020-01-13 18:40:39,,OUT,,,,,
,,69,2020-01-13 18:41:48,,OUT,,,,,
,,75,2020-01-13 19:08:15,,OUT,,,,,
,,45,2020-01-13 19:22:51,,OUT,,,,,
,,HR-EMP-00002,2020-01-14 09:42:53,,IN,,,,
,,HR-EMP-00001,2020-01-14 10:13:03,,IN,,,,
,,HR-EMP-00003,2020-01-14 10:26:18,,IN,,,,
,,66,2020-01-14 10:31:33,,IN,,,,
,,65,2020-01-14 10:40:33,,IN,,,,
,,75,2020-01-14 11:43:30,,IN,,,,
,,45,2020-01-14 12:17:01,,IN,,,,
,,HR-EMP-00003,2020-01-14 14:52:33,,OUT,,,,,
,,HR-EMP-00002,2020-01-14 18:03:41,,OUT,,,,,
,,HR-EMP-00001,2020-01-14 18:25:52,,OUT,,,,,
,,66,2020-01-14 18:30:44,,OUT,,,,,
,,65,2020-01-14 18:45:38,,OUT,,,,,
,,45,2020-01-14 19:52:05,,OUT,,,,,
,,75,2020-01-14 19:52:12,,OUT,,,,,
,,HR-EMP-00001,2020-01-15 10:14:51,,IN,,,,
,,66,2020-01-15 10:17:48,,IN,,,,
,,HR-EMP-00003,2020-01-15 10:23:11,,IN,,,,
,,65,2020-01-15 10:30:22,,IN,,,,
,,69,2020-01-15 10:47:19,,IN,,,,
,,45,2020-01-15 11:57:24,,IN,,,,
,,75,2020-01-15 12:41:41,,IN,,,,
,,HR-EMP-00001,2020-01-15 18:26:44,,OUT,,,,,
,,66,2020-01-15 18:37:15,,OUT,,,,,
,,75,2020-01-15 18:38:54,,OUT,,,,,
,,69,2020-01-15 18:38:57,,OUT,,,,,
,,HR-EMP-00003,2020-01-15 19:19:25,,OUT,,,,,
,,65,2020-01-15 19:21:31,,OUT,,,,,
,,45,2020-01-15 19:49:28,,OUT,,,,,
,,HR-EMP-00002,2020-01-16 10:08:24,,IN,,,,
,,66,2020-01-16 10:11:20,,IN,,,,
,,HR-EMP-00001,2020-01-16 10:12:46,,IN,,,,
,,65,2020-01-16 10:30:40,,IN,,,,
,,HR-EMP-00003,2020-01-16 10:59:55,,IN,,,,
,,69,2020-01-16 11:21:14,,IN,,,,
,,75,2020-01-16 11:29:21,,IN,,,,
,,45,2020-01-16 11:37:29,,IN,,,,
,,HR-EMP-00003,2020-01-16 14:36:04,,OUT,,,,,
,,HR-EMP-00001,2020-01-16 18:26:55,,OUT,,,,,
,,66,2020-01-16 18:39:53,,OUT,,,,,
,,65,2020-01-16 18:41:11,,OUT,,,,,
,,75,2020-01-16 18:48:44,,OUT,,,,,
,,69,2020-01-16 18:49:39,,OUT,,,,,
,,45,2020-01-16 20:27:15,,OUT,,,,,
,,HR-EMP-00002,2020-01-17 09:50:36,,IN,,,,
,,HR-EMP-00001,2020-01-17 10:09:41,,IN,,,,
,,HR-EMP-00003,2020-01-17 10:23:30,,IN,,,,
,,66,2020-01-17 10:23:39,,IN,,,,
,,65,2020-01-17 10:33:04,,IN,,,,
,,45,2020-01-17 11:12:06,,IN,,,,
,,75,2020-01-17 11:50:35,,IN,,,,
,,69,2020-01-17 12:58:30,,IN,,,,
,,HR-EMP-00002,2020-01-17 18:06:10,,OUT,,,,,
,,HR-EMP-00001,2020-01-17 18:28:28,,OUT,,,,,
,,66,2020-01-17 18:31:52,,OUT,,,,,
,,HR-EMP-00003,2020-01-17 18:42:28,,OUT,,,,,
,,65,2020-01-17 18:44:20,,OUT,,,,,
,,75,2020-01-17 20:03:32,,OUT,,,,,
,,45,2020-01-17 20:13:51,,OUT,,,,,
,,HR-EMP-00002,2020-01-18 09:48:27,,IN,,,,
,,HR-EMP-00001,2020-01-18 10:08:17,,IN,,,,
,,HR-EMP-00003,2020-01-18 10:27:57,,IN,,,,
,,45,2020-01-18 11:12:11,,IN,,,,
,,69,2020-01-18 11:20:54,,IN,,,,
,,75,2020-01-18 11:35:36,,IN,,,,
,,HR-EMP-00002,2020-01-18 17:36:56,,OUT,,,,,
,,75,2020-01-18 18:27:03,,OUT,,,,,
,,HR-EMP-00003,2020-01-18 18:27:10,,OUT,,,,,
,,HR-EMP-00001,2020-01-18 18:32:02,,OUT,,,,,
,,HR-EMP-00002,2020-01-20 09:51:53,,IN,,,,
,,66,2020-01-20 10:15:05,,IN,,,,
,,HR-EMP-00001,2020-01-20 10:15:46,,IN,,,,
,,HR-EMP-00003,2020-01-20 10:39:28,,IN,,,,
,,69,2020-01-20 11:23:55,,IN,,,,
,,45,2020-01-20 11:48:47,,IN,,,,
,,75,2020-01-20 12:13:53,,IN,,,,
,,69,2020-01-20 18:21:27,,OUT,,,,,
,,HR-EMP-00001,2020-01-20 18:32:47,,OUT,,,,,
,,66,2020-01-20 18:35:12,,OUT,,,,,
,,HR-EMP-00003,2020-01-20 18:42:55,,OUT,,,,,
,,75,2020-01-20 18:45:40,,OUT,,,,,
,,45,2020-01-20 19:56:47,,OUT,,,,,
,,HR-EMP-00001,2020-01-21 10:20:57,,IN,,,,
,,45,2020-01-21 10:22:23,,IN,,,,
,,66,2020-01-21 10:32:16,,IN,,,,
,,HR-EMP-00003,2020-01-21 10:38:42,,IN,,,,
,,69,2020-01-21 10:44:54,,IN,,,,
,,75,2020-01-21 11:08:18,,IN,,,,
,,HR-EMP-00003,2020-01-21 15:00:44,,OUT,,,,,
,,66,2020-01-21 15:26:01,,OUT,,,,,
,,HR-EMP-00001,2020-01-21 18:27:07,,OUT,,,,,
,,75,2020-01-21 19:13:41,,OUT,,,,,
,,HR-EMP-00002,2020-01-22 09:26:47,,IN,,,,
,,HR-EMP-00001,2020-01-22 09:56:24,,IN,,,,
,,HR-EMP-00003,2020-01-22 10:24:38,,IN,,,,
,,66,2020-01-22 10:27:05,,IN,,,,
,,69,2020-01-22 11:34:11,,IN,,,,
,,45,2020-01-22 11:34:49,,IN,,,,
,,HR-EMP-00002,2020-01-22 18:05:32,,OUT,,,,,
,,HR-EMP-00001,2020-01-22 18:25:52,,OUT,,,,,
,,66,2020-01-22 18:29:33,,OUT,,,,,
,,HR-EMP-00003,2020-01-22 19:14:32,,OUT,,,,,
,,45,2020-01-22 19:23:17,,OUT,,,,,
,,69,2020-01-22 20:24:32,,OUT,,,,,
,,HR-EMP-00002,2020-01-23 09:54:37,,IN,,,,
,,HR-EMP-00001,2020-01-23 10:14:36,,IN,,,,
,,66,2020-01-23 10:22:27,,IN,,,,
,,75,2020-01-23 10:36:28,,IN,,,,
,,HR-EMP-00003,2020-01-23 10:40:00,,IN,,,,
,,69,2020-01-23 11:21:28,,IN,,,,
,,HR-EMP-00003,2020-01-23 14:48:58,,OUT,,,,,
,,HR-EMP-00002,2020-01-23 17:55:36,,OUT,,,,,
,,HR-EMP-00001,2020-01-23 18:26:16,,OUT,,,,,
,,66,2020-01-23 18:28:02,,OUT,,,,,
,,75,2020-01-23 19:37:21,,OUT,,,,,
,,45,2020-01-23 19:37:59,,IN,,,,
,,HR-EMP-00002,2020-01-24 10:09:25,,IN,,,,
,,HR-EMP-00001,2020-01-24 10:11:15,,IN,,,,
,,HR-EMP-00003,2020-01-24 10:54:58,,IN,,,,
,,69,2020-01-24 11:22:45,,IN,,,,
,,45,2020-01-24 11:33:28,,IN,,,,
,,75,2020-01-24 11:50:59,,IN,,,,
,,HR-EMP-00002,2020-01-24 18:07:06,,OUT,,,,,
,,HR-EMP-00001,2020-01-24 18:30:51,,OUT,,,,,
,,45,2020-01-24 19:09:24,,OUT,,,,,
,,HR-EMP-00001,2020-01-25 10:15:38,,IN,,,,
,,66,2020-01-25 10:27:35,,IN,,,,
,,HR-EMP-00003,2020-01-25 10:46:05,,IN,,,,
,,69,2020-01-25 11:16:21,,IN,,,,
,,45,2020-01-25 11:21:54,,IN,,,,
,,75,2020-01-25 11:27:13,,IN,,,,
,,HR-EMP-00002,2020-01-25 17:53:49,,IN,,,,
,,HR-EMP-00001,2020-01-25 18:28:14,,OUT,,,,,
,,66,2020-01-25 18:36:31,,OUT,,,,,
,,69,2020-01-25 18:43:55,,OUT,,,,,
,,HR-EMP-00003,2020-01-25 18:44:05,,OUT,,,,,
,,75,2020-01-25 18:50:15,,OUT,,,,,
,,45,2020-01-25 19:14:44,,OUT,,,,,
,,HR-EMP-00001,2020-01-27 10:07:12,,IN,,,,
,,66,2020-01-27 10:13:19,,IN,,,,
,,HR-EMP-00003,2020-01-27 10:16:06,,IN,,,,
,,69,2020-01-27 11:20:06,,IN,,,,
,,45,2020-01-27 11:26:56,,IN,,,,
,,75,2020-01-27 11:47:15,,IN,,,,
,,66,2020-01-27 18:31:25,,OUT,,,,,
,,HR-EMP-00003,2020-01-27 18:43:30,,OUT,,,,,
,,69,2020-01-27 18:43:34,,OUT,,,,,
,,HR-EMP-00001,2020-01-27 19:12:42,,OUT,,,,,
,,75,2020-01-27 19:47:16,,OUT,,,,,
,,45,2020-01-27 20:28:15,,OUT,,,,,
,,HR-EMP-00002,2020-01-28 10:02:17,,IN,,,,
,,HR-EMP-00001,2020-01-28 10:07:37,,IN,,,,
,,HR-EMP-00003,2020-01-28 10:22:07,,IN,,,,
